Type,Name,DPI3,DPI4,DPI5
Upstream,IRF1,3.144,3.77,3.77
Functional,Activation of leukocytes,1.657,3.762,3.012
Functional,Phagocytosis,2.88,3.748,
Functional,Transport of carboxylic acid,3.612,3.743,3.353
Canonical,Ion channel transport,2.646,3.742,2.646
Upstream,SMARCA4,3.293,3.738,
Functional,Transport of amino acids,2.945,3.671,3.24
Functional,Phagocytosis of myeloid cells,2.878,3.651,3.393
Upstream,HNF1B,2.729,3.637,2.729
Upstream,TCF7L2,2.217,3.612,2.577
Upstream,SMARCB1,3.317,3.606,3.464
Canonical,Class A/1 (Rhodopsin-like receptors),2.828,3.606,3.162
Canonical,Multiple Sclerosis Signaling Pathway,2.449,3.606,3.317
Upstream,CGAS,3.575,3.575,3.575
Functional,Phagocytosis of phagocytes,2.878,3.561,3.296
Functional,Metabolism of nucleic acid component or derivative,3.398,3.549,2.831
Upstream,PKD1,3.9,3.545,3.9
Upstream,TLR3,3.095,3.537,3.537
Upstream,IFNB1,3.002,3.537,3.729
Upstream,IFNA1/IFNA13,2.925,3.524,3.394
Upstream,CHUK,2.795,3.498,2.9
Upstream,ARNT2,3.317,3.464,3.464
Upstream,IL20,3.317,3.464,3.317
Canonical,Formation of Fibrin Clot (Clotting Cascade),3.162,3.464,3.317
Canonical,Docosahexaenoic Acid (DHA) Signaling,2.449,3.464,2.449
Functional,Inflammatory response,1.622,3.454,2.697
Functional,Chemotaxis of phagocytes,2.776,3.448,2.877
Upstream,CEBPA,3.324,3.434,3.444
Functional,Transport of nitrogenous base,3.267,3.415,2.957
Functional,Translocation of lipid,3.278,3.413,3.113
Functional,Transport of steroid,3.338,3.395,3.049
Upstream,IRF9,2.942,3.39,3.39
Functional,Osmolality of urine,2.76,3.386,2.76
Functional,Immune response of leukocytes,2.277,3.386,2.928
Functional,Activation of myeloid cells,1.885,3.378,3.008
Functional,Cell movement of phagocytes,2.273,3.376,3.159
Functional,Engulfment of antigen presenting cells,2.726,3.372,2.961
Upstream,IFN,2.18,3.369,3.229
Upstream,FOXC1,2.887,3.357,3.606
Upstream,AGT,1.823,3.318,2.676
Canonical,Phase II - Conjugation of compounds,3,3.317,3
Canonical,Neurovascular Coupling Signaling Pathway,2.646,3.317,2.449
Upstream,SLC15A4,2.433,3.302,3.302
Functional,Synthesis of lipid,2.411,3.298,2.185
Upstream,THRA,,3.286,2.728
Upstream,TNF,2.598,3.267,3.642
Functional,Development of neurons,,3.263,
Upstream,TLR7,2.768,3.255,3.255
Functional,Flux of lipid,3.055,3.211,3.055
Canonical,Pathogen Induced Cytokine Storm Signaling Pathway,2.449,3.207,2.828
Upstream,AHR,1.532,3.204,2.577
Upstream,p38 MAPK,,3.204,
Upstream,ERK1/2,2.646,3.2,2.339
Functional,Immune response of myeloid cells,2.563,3.198,3.114
Upstream,EGF,2.032,3.193,1.91
Functional,Quantity of metal ion,1.8,3.193,2.485
Functional,Activation of antigen presenting cells,2.28,3.184,3.092
Upstream,PPARD,2.424,3.176,2.67
Upstream,ADAM10,3,3.162,3.162
Canonical,Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,3.051,3.153,3.051
Functional,Uptake of lipid,1.973,3.15,2.018
Upstream,IFNL4,2.4,3.12,3.12
Upstream,Immunoglobulin,1.821,3.109,1.964
Upstream,EIF2AK2,2.6,3.106,2.946
Upstream,EPAS1,,3.098,2.387
Upstream,PIM1,3.12,3.086,2.594
Functional,Immune response of phagocytes,2.559,3.085,2.996
Functional,Activation of phagocytes,1.662,3.079,2.746
Upstream,CREB1,,3.078,2.45
Functional,Activation of macrophages,2.192,3.073,3.06
Functional,Quantity of Ca2+,2.4,3.071,2.82
Upstream,CTNNB1,2.61,3.069,2.771
Functional,Metabolism of membrane lipid derivative,2.27,3.058,2.63
Upstream,IFNA4,2.352,3.057,2.89
Upstream,EZH2,2.418,3.056,3.12
Upstream,KDM6A,2.892,3.055,2.742
Upstream,SIM1,3.434,3.039,3.576
Functional,Metabolism of nucleotide,3.251,3.025,2.221
Functional,Synthesis of nucleotide,,3.025,2.221
Functional,Synthesis of reactive oxygen species,1.414,3.014,1.632
Upstream,LDL,2.695,3.01,3.952
Canonical,Bile acid and bile salt metabolism,3.162,3,2.828
Canonical,Retinoid metabolism and transport,2.828,3,3
Upstream,PAF1,2.449,3,3
Canonical,Binding and Uptake of Ligands by Scavenger Receptors,2.449,3,2.828
Canonical,Cell surface interactions at the vascular wall,2.236,3,2.449
Canonical,Clathrin-mediated endocytosis,2,3,2
Canonical,SNARE Signaling Pathway,,3,
Upstream,CG,,2.952,2.542
Functional,Complement activation,2.63,2.95,2.778
Upstream,USF2,2.437,2.944,2.608
Upstream,TICAM1,2.399,2.942,2.942
Upstream,SP1,,2.933,
Upstream,IRF5,2.579,2.931,2.931
Functional,Antimicrobial response,2,2.926,2.63
Upstream,CREB,,2.924,2.375
Upstream,IL17A,,2.922,
Functional,Uptake of carbohydrate,2.252,2.917,2.713
Upstream,ASCL1,2.395,2.915,2.178
Upstream,mir-96,2.72,2.891,2.72
Upstream,mir-183,2.714,2.887,2.714
Upstream,EHMT1,,2.887,1.89
Functional,Metabolism of reactive oxygen species,1.414,2.883,1.632
Upstream,PPARGC1A,1.666,2.864,1.846
Functional,Cellular homeostasis,1.964,2.858,3.032
Canonical,Phase I - Functionalization of compounds,2.828,2.828,2.828
Upstream,JAK,2.646,2.828,2.828
Canonical,Intrinsic Prothrombin Activation Pathway,2.646,2.828,2.828
Canonical,Aspirin ADME,2.646,2.828,2.646
Upstream,RRAS2,2.449,2.828,2.449
Canonical,Peroxisomal protein import,2.449,2.828,2.449
Upstream,MKNK1,2,2.828,2.433
Upstream,ZBTB10,,2.828,2.646
Upstream,MEF2C,,2.828,
Functional,Efflux of lipid,2.782,2.814,2.639
Upstream,PTN,2.236,2.813,2.449
Upstream,GCG,2.219,2.808,2.067
Functional,Transport of pyrimidine base,2.621,2.804,2.224
Functional,Leukocyte migration,1.903,2.796,3.14
Upstream,IFNE,2.449,2.795,2.795
Upstream,TERT,,2.791,2.607
Functional,Quantity of K+,2,2.778,2.19
Upstream,NFATC1,,2.778,2.186
Functional,Quantity of neurons,,2.778,
Functional,Metabolism of amino acids,2.592,2.772,2.592
Upstream,GPER1,,2.772,2.236
Functional,Transport of fatty acid,2.582,2.769,2.582
Upstream,CREB3L3,2.766,2.766,2.766
Upstream,TWIST1,2.728,2.76,3.487
Functional,Antiviral response,2,2.755,2.63
Functional,Internalization of bacteria,1.938,2.735,2.548
Upstream,NFKB1,2.156,2.732,3.08
Functional,Metabolism of protein,1.608,2.728,2.089
Upstream,JUN,,2.723,2.845
Functional,Stimulation of cells,,2.719,
Upstream,IL21,2.449,2.715,1.89
Upstream,BTK,2.449,2.714,2.714
Upstream,YTHDC2,2.333,2.714,2.714
Functional,Cell movement of antigen presenting cells,,2.697,2.609
Functional,Biosynthesis of cyclic nucleotides,2.935,2.661,2.053
Canonical,Glyoxylate metabolism and glycine degradation,2.646,2.646,2.646
Canonical,G alpha (q) signalling events,2.236,2.646,2
Canonical,G alpha (s) signalling events,2.236,2.646,2
Canonical,Role of MAPK Signaling in Promoting the Pathogenesis of Influenza,2.236,2.646,2
Upstream,TASL,2,2.646,2.646
Upstream,FBN1,2,2.646,2.646
Upstream,SLCO1C1,2,2.646,2.236
Canonical,Iron uptake and transport,2,2.646,2.236
Canonical,Xenobiotic Metabolism PXR Signaling Pathway,2,2.646,2
Canonical,Xenobiotic Metabolism CAR Signaling Pathway,2,2.646,2
Canonical,Class B/2 (Secretin family receptors),2,2.646,
Canonical,Cargo recognition for clathrin-mediated endocytosis,,2.646,2
Canonical,Metabolism of Angiotensinogen to Angiotensins,,2.646,2
Upstream,SIX2,,2.646,
Canonical,Membrane Repair Signaling Pathway,,2.646,
Canonical,Cardiac conduction,,2.646,
Canonical,GABAergic Receptor Signaling Pathway (Enhanced),,2.646,
Functional,Relapsed multiple sclerosis,,2.63,
Functional,Flux of cholesterol,2.296,2.629,2.452
Upstream,PPARA:RXRA Coactivator,2.621,2.621,2.97
Upstream,NCOA2,2.062,2.616,2.542
Functional,Formation of cell-cell contacts,,2.615,
Functional,Formation of intercellular junctions,,2.615,
Upstream,STAT3/STAT3,2.613,2.613,2.613
Upstream,IFNA8,1.977,2.611,2.428
Functional,Cell movement of neutrophils,1.936,2.609,2.403
Upstream,HNF4α dimer,2.4,2.6,2.4
Upstream,IFNA16,1.961,2.598,2.412
Functional,Formation of plasma membrane,,2.596,
Upstream,IL12 (complex),,2.579,1.98
Upstream,HSPA5,1.951,2.575,2.401
Upstream,IL18,,2.574,
Upstream,FXR/RXRα/FXR ligand/retinoic acid,2.371,2.568,2.158
Functional,Transport of phospholipid,2.566,2.566,2.372
Upstream,IFNAR,2.408,2.561,2.949
Upstream,STAT2,2.352,2.556,2.556
Upstream,CREBBP,2.579,2.555,2.927
Functional,Metabolism of acylglycerol,1.92,2.547,2.379
Upstream,HUWE1,1.765,2.535,1.765
Functional,Development of central nervous system,,2.534,
Functional,Quantity of metal,1.041,2.532,1.876
Functional,Quantity of cells,1.09,2.528,1.984
Functional,Cell movement of myeloid cells,1.351,2.505,2.325
Functional,Cell movement of leukocytes,1.549,2.501,2.719
Canonical,Glutaminergic Receptor Signaling Pathway (Enhanced),2.333,2.5,2.828
Functional,Catabolism of protein,1.102,2.5,1.71
Functional,Catabolism of macromolecule,,2.5,
Upstream,OSM,2.238,2.491,2.108
Functional,Biosynthesis of carboxylic acid,1.876,2.491,2.108
Upstream,SHH,,2.486,
Functional,Coagulation of blood,2.187,2.467,2.566
Upstream,IL15,,2.467,
Functional,Soft tissue lesion,1.497,2.465,2.426
Upstream,JAK1,2.449,2.449,2.449
Upstream,HMGN3,2.449,2.449,2.449
Upstream,SASH1,2.236,2.449,2.449
Upstream,Samsn1,2.236,2.449,2.449
Upstream,SENP3,2.236,2.449,2.449
Canonical,ISG15 antiviral mechanism,2.236,2.449,2.449
Canonical,Role of JAK family kinases in IL-6-type Cytokine Signaling,2.236,2.449,2.236
Canonical,Glycine Betaine Degradation,2.236,2.449,2.236
Canonical,Neurotransmitter release cycle,2.236,2.449,2
Canonical,Metabolism of porphyrins,2,2.449,2.236
Canonical,Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses,,2.449,2.236
Upstream,CYLD-AS1,,2.449,2
Canonical,Tryptophan catabolism,,2.449,2
Canonical,Metabolism of water-soluble vitamins and cofactors,,2.449,2
Functional,Uptake of glycosides,,2.449,
Upstream,IFT88,,2.449,
Canonical,Kinesins,,2.449,
Upstream,FAM222A,2.224,2.438,2.438
Functional,Metabolism of carbohydrate,2.669,2.437,2.881
Upstream,PML,2.514,2.426,2.154
Functional,Quantity of hdl cholesterol in blood,2.572,2.425,2.231
Upstream,TRAF3IP2,1.982,2.425,2.213
Upstream,MLX,,2.425,
Upstream,TPH1,,2.425,
Upstream,NR1H4,2.127,2.422,1.853
Upstream,PXR/RXRA/pxr ligand/retinoic acid,2.434,2.42,1.981
Functional,Transport of bile salt,2.414,2.42,1.969
Functional,Response of macrophages,2.04,2.42,2.106
Functional,Transport of drug,1.994,2.42,
Functional,Assembly of intercellular junctions,,2.42,
Upstream,BCL2,,2.415,
Upstream,NTRK2,,2.414,
Upstream,NFIC,,2.414,
Functional,Oxidation of amino acids,1.969,2.412,
Upstream,FOS,1.183,2.412,0.972
Upstream,IFNA6,,2.412,2.214
Upstream,IFNA14,,2.412,2.214
Upstream,IFNA5,,2.412,2.214
Upstream,IFNA7,,2.412,2.214
Upstream,IFNA10,,2.412,2.214
Functional,Retinal vasculopathy,,2.411,1.967
Functional,Catabolism of lipid,2.287,2.409,2.47
Upstream,IFNA21,,2.409,2.211
Functional,Binding of carbohydrate,2.759,2.408,2.368
Upstream,MLXIPL,2.183,2.4,2.183
Upstream,MTTP,2.199,2.394,2.394
Upstream,EGR1,,2.39,
Functional,Transport of bile acid,2.576,2.388,2.388
Upstream,NKX2-1,2.18,2.374,2.374
Functional,Cell movement of macrophages,,2.374,2.407
Upstream,TAC1,2.219,2.371,2.371
Upstream,SLC16A2,1.432,2.36,1.937
Upstream,IL36G,,2.359,1.915
Functional,Cell movement of mononuclear leukocytes,,2.354,2.498
Functional,Learning,,2.35,
Functional,Efflux of phospholipid,2.132,2.345,2.132
Upstream,ZIC2,,2.345,
Upstream,TYK2,1.729,2.34,1.892
Canonical,Regulation of lipid metabolism by PPARalpha,2.121,2.333,2.714
Functional,Efflux of cholesterol,2.133,2.326,2.133
Upstream,HMGB1,1.67,2.319,1.904
Functional,Response of myeloid leukocytes,1.699,2.313,2.364
Upstream,ANGPT2,,2.302,2.407
Functional,Synthesis of fatty acid,2.102,2.29,2.177
Upstream,SREBF1,1.366,2.278,1.598
Functional,Neurogenic lesion,1.497,2.273,2.225
Functional,Brain lesion,1.497,2.273,2.225
Upstream,ESRRA,2.309,2.265,2.364
Upstream,LIF,1.839,2.26,2.399
Upstream,FOXO1,1.981,2.257,2.567
Upstream,NAMPT,,2.248,1.767
Functional,Metabolism of macromolecule,,2.244,1.144
Upstream,NR1H,1.761,2.241,1.86
Functional,Uptake of digoxin,2.236,2.236,2.236
Upstream,NDRG1,2.236,2.236,2.236
Canonical,Regulation of TLR by endogenous ligand,2.236,2.236,2.236
Canonical,Amyloid fiber formation,2.236,2.236,2.236
Canonical,Passive transport by Aquaporins,2.236,2.236,2
Canonical,Integrin cell surface interactions,2.236,2.236,2
Canonical,"Transport of vitamins, nucleosides, and related molecules",2.236,2.236,
Upstream,DOCK8,2,2.236,2.236
Canonical,Nucleotide catabolism,2,2.236,2.236
Canonical,Metabolism of steroid hormones,2,2.236,2.236
Canonical,Glucose metabolism,2,2.236,2.236
Canonical,MSP-RON Signaling in Cancer Cells Pathway,2,2.236,2.236
Upstream,H1-6,2,2.236,2
Upstream,H1-1,2,2.236,2
Upstream,FASN,2,2.236,2
Canonical,ABC-family proteins mediated transport,2,2.236,2
Canonical,Arachidonic acid metabolism,2,2.236,2
Canonical,Atorvastatin ADME,2,2.236,2
Canonical,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",2,2.236,2
Canonical,Visual phototransduction,2,2.236,2
Functional,Translocation of organic anion,2,2.236,
Functional,Transport of rosuvastatin,2,2.236,
Canonical,Nephron development,2,2.236,
Functional,Immune response of neutrophils,1.685,2.236,2.282
Upstream,ORMDL3,,2.236,2.236
Canonical,Interferon gamma signaling,,2.236,2.236
Upstream,FADD,,2.236,2
Upstream,JAK1/2,,2.236,2
Canonical,"GABA synthesis, release, reuptake and degradation",,2.236,2
Upstream,FEV,,2.236,
Canonical,3-phosphoinositide Degradation,,2.236,
Canonical,Degradation of the extracellular matrix,,2.236,
Canonical,Regulation of beta-cell development,,2.236,
Canonical,Neurexins and neuroligins,,2.236,
Canonical,"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis",,2.236,
Canonical,Abacavir ADME,,2.236,
Canonical,"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis",,2.236,
Canonical,D-myo-inositol-5-phosphate Metabolism,,2.236,
Upstream,PHF21A,,2.231,
Functional,Binding of polysaccharide,2.58,2.23,2.175
Upstream,USP7,,2.224,
Functional,Ion homeostasis of cells,1.282,2.222,2.135
Functional,Cell movement of granulocytes,2.003,2.22,2.129
Functional,Immune response of macrophages,1.81,2.22,1.884
Functional,Translocation of bile salt,2.213,2.219,
Upstream,STAT5A,2,2.219,2
Upstream,ELAVL3,,2.219,
Upstream,HDAC4,1.98,2.216,1.98
Upstream,MTORC1,,2.216,
Functional,Transport of purine base,2.213,2.213,2.213
Upstream,VCAN,2.547,2.209,1.886
Functional,Development of gap junctions,,2.208,
Functional,Infection by coronavirus,,2.208,
Functional,Metabolism of triacylglycerol,1.472,2.204,2.02
Functional,Secretion of lipid,2.955,2.2,2.229
Functional,Uptake of salicylic acid,2.2,2.2,2.2
Functional,Uptake of indomethacin,2.2,2.2,2.2
Upstream,TCF1/3/4,2.2,2.2,2.2
Upstream,ISGF3,2.2,2.2,2.2
Functional,Synthesis of amino acids,1.982,2.2,1.982
Upstream,T3/TR/RXR,,2.2,
Functional,Intrathoracic organ tumor,2.184,2.198,2.577
Functional,Thoracic neoplasm,,2.198,
Functional,Transport of cation,2.609,2.195,2.492
Upstream,RARG,,2.19,
Upstream,IFIH1,2.176,2.189,2.575
Functional,Efflux of amino acids,2.186,2.186,2.186
Upstream,POU3F3,2.186,2.186,2.186
Functional,Mood disorders,,2.186,
Functional,Depressive disorder,,2.186,
Upstream,TBX21,,2.186,
Upstream,RARA,1.491,2.185,1.27
Functional,Transport of vesicles,,2.174,
Upstream,NOS2,1.633,2.172,1.914
Functional,Activation of endothelial cells,,2.168,1.933
Upstream,MAP3K7,1.969,2.163,2.562
Upstream,TBK1,2.125,2.161,2.161
Upstream,PPP3R1,1.718,2.159,1.948
Upstream,cytokine,1.937,2.157,2.157
Functional,Transport of taurocholic acid,2.354,2.156,2.156
Functional,Transport of alkyl sulfonic acid,2.354,2.156,2.156
Functional,Release of neurotransmitter,1.479,2.14,1.902
Upstream,NR4A3,1.387,2.138,1.664
Upstream,BDNF,0.605,2.138,
Upstream,NFkB (family),,2.128,1.91
Upstream,THRB,1.528,2.124,2.015
Upstream,CNTF,,2.123,2.15
Functional,Hyperlipoproteinemia,1.633,2.121,1.633
Canonical,Neuroprotective Role of THOP1 in Alzheimer's Disease,1.342,2.121,1.342
Canonical,Synaptic Long Term Depression,1.342,2.121,1
Functional,Cleavage of protein fragment,1.605,2.11,1.859
Functional,Generation of reactive oxygen species,1.285,2.099,1.198
Functional,Cognition,,2.096,
Functional,Phagocytosis of neutrophils,1.204,2.09,1.857
Upstream,IL1B,1.429,2.086,2.473
Functional,Uptake of bile acids and salt derivative,2.554,2.081,2.353
Upstream,IL6,2.283,2.079,2.582
Upstream,NCOA1,1.998,2.077,2.233
Upstream,CEBPD,1.575,2.075,1.838
Functional,Transport of ion,2.159,2.065,2.08
Functional,Cellular infiltration by macrophages,,2.065,2.333
Upstream,SMAD3,1.388,2.057,2.533
Functional,Quantity of connective tissue,1.061,2.05,1.852
Functional,Activation of neuroglia,0.833,2.037,1.515
Functional,Intrathoracic malignant tumor,,2.036,
Functional,Cellular infiltration by phagocytes,,2.028,1.989
Functional,Proteolysis,0.892,2.02,1.597
Functional,Concentration of phospholipid,1.438,2.019,1.205
Functional,Secretory pathway,,2.016,
Functional,Exocytosis,,2.016,
Functional,Metabolism of terpenoid,1.975,2.015,1.895
Functional,Development of abdomen,1.999,2.008,1.999
Upstream,FMO3,2,2,2.236
Upstream,LUCAT1,2,2,2.236
Functional,Uptake of ibuprofen,2,2,2
Functional,Uptake of ketoprofen,2,2,2
Upstream,STAT,2,2,2
Upstream,LINC02574,2,2,2
Upstream,CLEC12A,2,2,2
Upstream,KLF7,2,2,2
Upstream,C/EBP,2,2,2
Upstream,ETNPPL,2,2,2
Canonical,Surfactant metabolism,2,2,2
Functional,Lung cancer,1.949,2,2.377
Functional,Malignant neoplasm of respiratory system,1.949,2,2.377
Upstream,GCR/glucocorticoid dimer,,2,2
Upstream,BLK,,2,2
Upstream,ZNFX1,,2,2
Upstream,FCGR2A,,2,2
Canonical,Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza,,2,2
Canonical,PKR-mediated signaling,,2,2
Canonical,DDX58/IFIH1-mediated induction of interferon-alpha/beta,,2,2
Canonical,OAS antiviral response,,2,2
Canonical,Cytoprotection by HMOX1,,2,2
Canonical,Prednisone ADME,,2,2
Functional,Accumulation of cisplatin,,2,
Upstream,IFN lambda,,2,
Upstream,HDL/cholesterol,,2,
Upstream,Bvht,,2,
Upstream,PEBP1,,2,
Upstream,ZFP36L2,,2,
Upstream,MSX2,,2,
Canonical,Insulin processing,,2,
Canonical,Retinol Biosynthesis,,2,
Canonical,Phospholipases,,2,
Canonical,Paracetamol ADME,,2,
Canonical,Superpathway of Citrulline Metabolism,,2,
Canonical,Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza,,2,
Canonical,Phenylalanine and tyrosine metabolism,,2,
Canonical,Gap junction trafficking and regulation,,2,
Canonical,Tryptophan Degradation III (Eukaryotic),,2,
Upstream,C3,1.987,1.998,1.536
Functional,Biliary excretion of lipid,2.226,1.996,
Upstream,THPO,1.477,1.992,1.732
Functional,Flux of ion,1.292,1.989,2.393
Upstream,NR5A1,,1.989,
Upstream,STAT3,1.493,1.988,1.747
Upstream,OSMR,1.982,1.982,1.982
Functional,Uptake of estrogen,,1.982,1.982
Upstream,SOX17,,1.982,
Functional,Catabolism of amino acids,1.98,1.98,1.98
Upstream,STK4,1.98,1.98,1.98
Upstream,ACOX1,1.772,1.976,1.648
Functional,Cytolysis,,1.971,
Upstream,KMT2A,,1.97,
Upstream,PPAR,1.969,1.969,1.969
Functional,Transport of vitamin,,1.969,
Upstream,nuclear factor 1,,1.969,
Upstream,SMAD1,,1.969,
Upstream,NFKBIA,2.183,1.967,
Functional,Quantity of adipose tissue,1.586,1.966,2.448
Upstream,RXR/VDR/vitamin D3,1.982,1.964,1.387
Upstream,FOXI1,,1.964,
Functional,Contraction of blood vessel,,1.963,1.201
Functional,Metabolism of alpha-amino acid,1.961,1.961,1.961
Upstream,ELF4,,1.961,
Upstream,TMEM120A,1.96,1.96,1.96
Functional,Metabolism of vitamin,,1.96,1.96
Upstream,PAX8,,1.96,
Functional,Receptor-mediated endocytosis,,1.958,1.555
Functional,Uptake of bile acid,1.957,1.957,1.957
Upstream,RORA,1.957,1.957,1.957
Functional,Uptake of taurocholic acid,1.954,1.954,1.954
Upstream,LEP,1.714,1.954,1.158
Upstream,PLAAT4,,1.953,1.953
Upstream,NEUROG3,,1.953,
Upstream,PAX2,,1.949,
Upstream,ADIPOQ,3.014,1.948,1.649
Upstream,IRF2,1.947,1.947,1.947
Upstream,FGF1,,1.947,
Functional,Transport of synaptic vesicles,,1.946,
Functional,Biliary excretion of cholesterol,1.944,1.944,1.944
Upstream,NFIX,,1.944,
Upstream,RARA/RXRA/rar ligand/retinoic acid,,1.944,
Upstream,GATA4,1.802,1.943,2.231
Canonical,Coagulation System,1.508,1.941,1.732
Upstream,HOXD10,1.387,1.941,1.706
Upstream,EGOT,1.342,1.941,1.671
Functional,Progressive neuromuscular disease,,1.941,
Functional,Neuromuscular disease with neuropathy,,1.941,
Upstream,NR3C2,,1.941,
Functional,Synthesis of nitric oxide,,1.914,2.102
Functional,Flux of inorganic cation,1.338,1.905,2.466
Functional,Quantity of carbohydrate,1.6,1.898,1.484
Canonical,cAMP-mediated signaling,2.236,1.897,2.236
Upstream,PARP9,2.449,1.89,2.449
Upstream,MSC,2.236,1.89,2.449
Canonical,Oxytocin in Brain Signaling Pathway,1.89,1.89,1
Upstream,NCOR/LXR/RXR/oxysterol/9 cis RA,1.633,1.89,1.633
Canonical,NR1H2 and NR1H3-mediated signaling,1.633,1.89,1.633
Functional,Hypercholesterolemia,1.342,1.89,1.342
Functional,Dyslipidemia,1.449,1.882,1.858
Functional,Uptake of bile salt,2.391,1.879,2.174
Functional,Uptake of anion,1.657,1.863,1.657
Upstream,RXRA,1.31,1.848,0.593
Upstream,TCR (complex),,1.843,
Functional,Development of body trunk,1.705,1.824,1.442
Upstream,NR5A2,2.519,1.788,1.811
Upstream,ADORA2A,,1.784,1.069
Upstream,PRKCA,1.31,1.782,1.782
Functional,Lipolysis,2.456,1.781,2.488
Upstream,IL22,,1.775,1.475
Upstream,EP300,,1.769,1.789
Upstream,NR3C1,1.474,1.766,1.926
Functional,Progressive motor neuropathy,,1.765,
Functional,Progressive neuropathy,,1.765,
Functional,Quantity of protein lipid complex in blood,1.744,1.761,1.653
Upstream,PI3K (family),,1.756,1.756
Functional,Transport of inorganic cation,2.201,1.754,2.065
Functional,Onset of autoimmune disease,,1.751,1.446
Upstream,ESRRG,1.452,1.744,1.762
Upstream,S100A9,1.89,1.742,2.043
Functional,Flux of cation,1.128,1.733,2.255
Upstream,PTGES,,1.732,
Upstream,CD36,1.445,1.729,1.445
Upstream,F2,1.4,1.727,2.073
Upstream,CSF1,,1.727,1.223
